phrase,target
"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy",positive
"The company 's net profit amounted to EE 55.5 mn , which was 36 % more than in 2004",positive
Sports equipment sales also progressed well owing to the prolonged winter season,positive
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009",positive
"Finland 's leading metals group Outokumpu said its fourth-quarter net profit more than tripled on the back of strong global demand for stainless steel , soaring base metal prices and proceeds from the sale of its technology unit",positive
"Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009",positive
`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies,positive
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year",positive
"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 5",positive
Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004,positive
"Having a China based operation will not only enable us to fully leverage our resources and expertise in wireless solutions , but also strengthen our capability to offer industry-leading products for our customers in China . '",positive
"Pre-tax loss totaled EUR 0.3 mn , compared to a loss of EUR 2.2 mn in the first quarter of 2005",positive
Olvi expects sales and market share to increase in the first quarter of 2010,positive
"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005",positive
Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago,positive
Pretax profit jumped to EUR 21.9 million from EUR 3.1 million,positive
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008",positive
"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations",positive
"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004",positive
"The restructuring creates a more efficient organization with increased operational focus and stable profitability , and leads to more efficient production , said Bo Annvik , head of Specialty Stainless",positive
"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year",positive
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago,positive
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said",positive
"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure",positive
"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier",positive
"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009",positive
"Thus the method will cut working costs , and will fasten the planning and building processes",positive
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009,positive
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006,positive
"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods",positive
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007",positive
"However , the broker gave an `` outperform '' recommendation on the stock",positive
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04,positive
"In the end of 2006 , the number of outlets will rise to 60-70",positive
The Department Store Division reported an increase in sales of 4 per cent,positive
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007",positive
"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006",positive
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004",positive
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005",positive
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year",positive
"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m",positive
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m )",positive
Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+ï¿½rbindelsen bridge in Gothenburg in Sweden,positive
It will also strengthen Ruukki 's offshore business,positive
Viking Line manages well with its current ferries,positive
Exports grew 16.5 percent to 19.1 million liters,positive
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year",positive
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million",positive
Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007,positive
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008,positive
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement,positive
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier",positive
"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005",positive
"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila",positive
"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again",positive
"OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market",positive
Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million,positive
"Return on investment was 5.0 % , compared to a negative 4.1 % in 2009",positive
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters",positive
"EBIT totalled EUR 14.4 mn , compared to a loss of EUR 0.3 mn in the corresponding period in 2009",positive
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005,positive
Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia,positive
EPS grew to 0.04 eur from 0.02 eur,positive
"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo",positive
The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 %,positive
"MANAVIGATOR-September 7 , 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 )",positive
"October-December sales were 302 mln eur , or a 25.3 pct increase year on year",positive
Both the net sales and operating profit were record high in the company 's history,positive
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009",positive
Sales have risen in other export markets,positive
Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64,positive
The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m,positive
"This location makes the mall a convenient place to shop for consumers from three large residential areas nearby : Jaroszowka , Wysockiego and Zgody",positive
"Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006",positive
"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters",positive
"2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year",positive
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008",positive
Nordea sees a return to positive growth for the Baltic countries in 2011,positive
Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ),positive
With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients,positive
"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier",positive
The actions are expected to deliver annual cost savings of some EUR15-20m,positive
"Previously , the company anticipated its operating profit to improve over the same period",positive
"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow",positive
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said",positive
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004",positive
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006,positive
Finnish Bank of +ï¿½land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008,positive
"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation",positive
Operating profit margin increased from 11.2 % to 11.7 %,positive
"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday",positive
"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn",positive
"Revenue from July to September grew 21 percent to EURO 2.3 billion , the Finnish company said Thursday",positive
"mn , and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006",positive
Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components,positive
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year",positive
"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery",positive
"In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009",positive
"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts",positive
Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure,positive
Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007,positive
"Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February",positive
"Danske Bank A-S DANSKE DC jumped 3.7 percent to 133.4 kroner , rebounding from yesterday s 3.5 percent slide",positive
Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London,positive
Unit costs for flight operations fell by 6.4 percent,positive
"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland",positive
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates",positive
Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board,positive
"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia",positive
Olvi has posted a strong set of figures for the first six months of this year,positive
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said",positive
Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier,positive
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006",positive
"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008",positive
"Finnish flexible packaging manufacturer Suominen Corporation reports net sales of EUR 54.5 mn in the first quarter of 2008 , compared with EUR 54.3 mn a year earlier",positive
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000",positive
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006",positive
"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria",positive
Return on equity stood at 18.3 % compared to 15.4 % in the third quarter of 2005,positive
"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm",positive
"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008",positive
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005,positive
"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn",positive
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services",positive
"In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million",positive
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased,positive
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres",positive
"Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008",positive
1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009,positive
20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009,positive
Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005,positive
"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier",positive
"Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006",positive
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009",positive
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday",positive
Orion Pharma 's operating profit increased by 42.5 % from 2004,positive
"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006",positive
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory,positive
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn,positive
The aim is an annual improvement in Ruukki Construction 's operating profit of more than EUR 3 million USD 4.1 m starting in 2009,positive
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant,positive
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct",positive
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 %",positive
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months",positive
Finnish construction group Lemmink+ï¿½inen has been awarded two road building contracts by the Lithuanian transport administration,positive
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008",positive
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces",positive
"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn",positive
This new partnership agreement represents a significant milestone for both parties,positive
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007",positive
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008,positive
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million",positive
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members",positive
"Operating profit totalled EUR 5.8 mn , up from a loss of EUR 1.7 mn in the fourth quarter of 2009",positive
"Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net loss of 299,000 euro $ 430,000 for the corresponding period of 2006",positive
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn",positive
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales",positive
Performance in the second half of 2009 exceeded expectations,positive
"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05",positive
The company moved to an operating profit of EUR10 .9 m versus an operating loss of EUR15 .3 m. It also turned to EPS of EUR0 .08 versus loss per share of EUR0 .04,positive
Operating profit of the Asian plants grew markedly,positive
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006",positive
"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates",positive
The transactions would increase earnings per share in the first quarter by some EUR0 .28,positive
It therefore seems that Finnish shipping company Viking Line will get the subsidy it needs to order its new LNG-fuelled vessel,positive
"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia",positive
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006,positive
"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006",positive
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005",positive
HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd.,positive
Net sales revenue per passenger is expected to increase,positive
EBIT margin was up from 1.4 % to 5.1 %,positive
"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the",positive
Marimekko Group 's full-year net sales are estimated to increase by about 10 %,positive
"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005",positive
"Tiimari , the Finnish retailer , reported to have geenrated quarterly revenues totalling EUR 1.3 mn in the 4th quarter 2009 , up from EUR 0.3 mn loss in 2008",positive
"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE",positive
"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn",positive
"Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden",positive
Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier,positive
"Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year",positive
Operating profit rose to 22.1 mln eur from 19.9 mln,positive
Construction volumes meanwhile grow at a rate of 10-15 percent annually,positive
"`` The number of collection errors fell considerably , and operations speeded up",positive
"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago",positive
"Clothing retail chain Sepp+ï¿½l+ï¿½ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004",positive
"In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009",positive
"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004",positive
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006",positive
8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008,positive
Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million,positive
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009,positive
